category_id,category_group,category_desc
55a5a1ebe4b013909087cb8c,Food,Romagna Restaurant
55a5a1ebe4b013909087cb92,Food,Roman Restaurant
55a5a1ebe4b013909087cb8f,Food,Sardinian Restaurant
55a5a1ebe4b013909087cb86,Food,Sicilian Restaurant
55a5a1ebe4b013909087cbb9,Food,South Tyrolean Restaurant
55a5a1ebe4b013909087cb7f,Food,Trattoria/Osteria
55a5a1ebe4b013909087cbbc,Food,Trentino Restaurant
55a5a1ebe4b013909087cb9e,Food,Tuscan Restaurant
55a5a1ebe4b013909087cbc2,Food,Umbrian Restaurant
55a5a1ebe4b013909087cbad,Food,Veneto Restaurant
52e81612bcbc57f1066b79fd,Food,Jewish Restaurant
52e81612bcbc57f1066b79fc,Food,Kosher Restaurant
4bf58dd8d48988d112941735,Food,Juice Bar
5283c7b4e4b094cb91ec88d7,Food,Kebab Restaurant
4bf58dd8d48988d1be941735,Food,Latin American Restaurant
4bf58dd8d48988d152941735,Food,Arepa Restaurant
52939a8c3cf9994f4e043a35,Food,Empanada Restaurant
5745c7ac498e5d0483112fdb,Food,Salvadoran Restaurant
4bf58dd8d48988d1cd941735,Food,South American Restaurant
4bf58dd8d48988d107941735,Food,Argentinian Restaurant
4bf58dd8d48988d16b941735,Food,Brazilian Restaurant
5294c7523cf9994f4e043a62,Food,Acai House
52939ae13cf9994f4e043a3b,Food,Baiano Restaurant
52939a9e3cf9994f4e043a36,Food,Central Brazilian Restaurant
52939a643cf9994f4e043a33,Food,Churrascaria
5294c55c3cf9994f4e043a61,Food,Empada House
52939af83cf9994f4e043a3d,Food,Goiano Restaurant
52939aed3cf9994f4e043a3c,Food,Mineiro Restaurant
52939aae3cf9994f4e043a37,Food,Northeastern Brazilian Restaurant
52939ab93cf9994f4e043a38,Food,Northern Brazilian Restaurant
5294cbda3cf9994f4e043a63,Food,Pastelaria
52939ac53cf9994f4e043a39,Food,Southeastern Brazilian Restaurant
52939ad03cf9994f4e043a3a,Food,Southern Brazilian Restaurant
52939a7d3cf9994f4e043a34,Food,Tapiocaria
58daa1558bbb0b01f18ec1f4,Food,Colombian Restaurant
4eb1bfa43b7b52c0e1adc2e8,Food,Peruvian Restaurant
56aa371be4b08b9a8d573558,Food,Venezuelan Restaurant
4bf58dd8d48988d1bf941735,Food,Mac & Cheese Joint
4bf58dd8d48988d1c0941735,Food,Mediterranean Restaurant
4bf58dd8d48988d1c3941735,Food,Moroccan Restaurant
4bf58dd8d48988d1c1941735,Food,Mexican Restaurant
58daa1558bbb0b01f18ec1d9,Food,Botanero
4bf58dd8d48988d153941735,Food,Burrito Place
4bf58dd8d48988d151941735,Food,Taco Place
56aa371ae4b08b9a8d5734ba,Food,Tex-Mex Restaurant
5744ccdfe4b0c0459246b4d3,Food,Yucatecan Restaurant
4bf58dd8d48988d115941735,Food,Middle Eastern Restaurant
5bae9231bedf3950379f89e1,Food,Egyptian Restaurant
5bae9231bedf3950379f89e7,Food,Iraqi Restaurant
56aa371be4b08b9a8d573529,Food,Israeli Restaurant
5744ccdfe4b0c0459246b4ca,Food,Kurdish Restaurant
58daa1558bbb0b01f18ec1cd,Food,Lebanese Restaurant
52e81612bcbc57f1066b79f7,Food,Persian Restaurant
58daa1558bbb0b01f18ec1bc,Food,Ash and Haleem Place
58daa1558bbb0b01f18ec1c0,Food,Dizi Place
58daa1558bbb0b01f18ec1c4,Food,Gilaki Restaurant
58daa1558bbb0b01f18ec1c7,Food,Jegaraki
5744ccdfe4b0c0459246b4a8,Food,Tabbakhi
5bae9231bedf3950379f89e4,Food,Shawarma Place
5bae9231bedf3950379f89da,Food,Syrian Restaurant
5bae9231bedf3950379f89ea,Food,Yemeni Restaurant
52e81612bcbc57f1066b79f9,Food,Modern European Restaurant
4bf58dd8d48988d1c2941735,Food,Molecular Gastronomy Restaurant
52e81612bcbc57f1066b79f8,Food,Pakistani Restaurant
56aa371be4b08b9a8d573508,Food,Pet Café
4bf58dd8d48988d1ca941735,Food,Pizza Place
52e81612bcbc57f1066b7a04,Food,Polish Restaurant
4def73e84765ae376e57713a,Food,Portuguese Restaurant
56aa371be4b08b9a8d5734c7,Food,Poutine Place
4bf58dd8d48988d1c4941735,Food,Restaurant
5293a7563cf9994f4e043a44,Food,Russian Restaurant
52e928d0bcbc57f1066b7e9d,Food,Blini House
52e928d0bcbc57f1066b7e9c,Food,Pelmeni House
4bf58dd8d48988d1bd941735,Food,Salad Place
4bf58dd8d48988d1c5941735,Food,Sandwich Place
4bf58dd8d48988d1c6941735,Food,Scandinavian Restaurant
5744ccdde4b0c0459246b4a3,Food,Scottish Restaurant
4bf58dd8d48988d1ce941735,Food,Seafood Restaurant
56aa371be4b08b9a8d57355a,Food,Slovak Restaurant
4bf58dd8d48988d1c7941735,Food,Snack Place
